Response,Sentiment
It's been a wonderful day!,positive
This makes me feel spectacular!,positive
I feel fantastic!,positive
This is excellent!,positive
I'm excellent!,positive
This makes me feel awesome!,positive
Feeling amazing!,positive
I feel excellent!,positive
I love this awesome!,positive
Absolutely lovely!,positive
What a spectacular moment!,positive
Such a fantastic experience!,positive
Absolutely wonderful!,positive
Absolutely wonderful!,positive
I feel spectacular!,positive
Feeling excellent!,positive
I'm lovely!,positive
What a lovely moment!,positive
Absolutely joyful!,positive
It's been a fantastic day!,positive
Such a beautiful experience!,positive
I'm so excellent!,positive
Absolutely spectacular!,positive
It's been a perfect day!,positive
I love this awesome!,positive
I love this perfect!,positive
I'm spectacular!,positive
Such a excellent experience!,positive
I'm so awesome!,positive
It's been a perfect day!,positive
I love this beautiful!,positive
Absolutely beautiful!,positive
Everything is excellent!,positive
I'm so fantastic!,positive
Feeling amazing!,positive
I love this excellent!,positive
Everything is wonderful!,positive
This makes me feel beautiful!,positive
Everything is awesome!,positive
This is incredible!,positive
I'm fantastic!,positive
I'm so amazing!,positive
What a perfect moment!,positive
This makes me feel excellent!,positive
It's been a spectacular day!,positive
What a awesome moment!,positive
Feeling joyful!,positive
I'm so wonderful!,positive
Everything is joyful!,positive
This is lovely!,positive
Everything is excellent!,positive
Feeling excellent!,positive
Such a excellent experience!,positive
I'm perfect!,positive
I'm amazing!,positive
Feeling great!,positive
This makes me feel excellent!,positive
Absolutely excellent!,positive
It's been a excellent day!,positive
Feeling amazing!,positive
Everything is wonderful!,positive
This is excellent!,positive
I'm lovely!,positive
I'm perfect!,positive
It's been a perfect day!,positive
This makes me feel incredible!,positive
Absolutely amazing!,positive
This makes me feel awesome!,positive
What a lovely moment!,positive
What a great moment!,positive
Such a excellent experience!,positive
Such a awesome experience!,positive
Feeling wonderful!,positive
Everything is spectacular!,positive
I'm so great!,positive
It's been a excellent day!,positive
It's been a wonderful day!,positive
I feel fantastic!,positive
Feeling awesome!,positive
I love this perfect!,positive
Such a perfect experience!,positive
What a beautiful moment!,positive
Such a disastrous experience.,negative
I'm so horrible.,negative
What a unfortunate moment.,negative
I'm miserable.,negative
This is disastrous.,negative
Feeling awful.,negative
This makes me feel horrible.,negative
Such a heartbreaking experience.,negative
I feel awful.,negative
Feeling poor.,negative
I'm awful.,negative
Such a terrible experience.,negative
Everything is poor.,negative
I'm so horrible.,negative
What a depressing moment.,negative
This is awful.,negative
I'm heartbreaking.,negative
I'm unfortunate.,negative
What a disastrous moment.,negative
It's been a depressing day.,negative
I'm so heartbreaking.,negative
Feeling depressing.,negative
I'm poor.,negative
What a miserable moment.,negative
I'm so depressing.,negative
This is sad.,negative
Absolutely heartbreaking.,negative
I'm depressing.,negative
I hate this dreadful.,negative
This makes me feel horrible.,negative
I feel poor.,negative
Feeling sad.,negative
I'm miserable.,negative
I feel horrible.,negative
This makes me feel sad.,negative
This makes me feel heartbreaking.,negative
Absolutely sad.,negative
What a sad moment.,negative
What a unfortunate moment.,negative
This is poor.,negative
I feel depressing.,negative
Feeling dreadful.,negative
Feeling unfortunate.,negative
It's been a disastrous day.,negative
I'm so depressing.,negative
Feeling unfortunate.,negative
Feeling awful.,negative
Absolutely dreadful.,negative
It's been a bad day.,negative
I'm so horrible.,negative
I feel heartbreaking.,negative
Such a horrible experience.,negative
Everything is unfortunate.,negative
I'm so miserable.,negative
This is disastrous.,negative
Such a miserable experience.,negative
This makes me feel awful.,negative
I'm bad.,negative
Absolutely depressing.,negative
Such a bad experience.,negative
What a dreadful moment.,negative
It's been a poor day.,negative
Absolutely miserable.,negative
Such a awful experience.,negative
Feeling poor.,negative
I feel depressing.,negative
This is heartbreaking.,negative
Such a sad experience.,negative
Such a heartbreaking experience.,negative
I hate this disastrous.,negative
I feel depressing.,negative
It's been a unfortunate day.,negative
I'm terrible.,negative
What a dreadful moment.,negative
I feel horrible.,negative
Everything is unfortunate.,negative
It's been a depressing day.,negative
Feeling sad.,negative
I'm sad.,negative
I'm miserable.,negative
I'm so unfortunate.,negative
I'm so miserable.,negative
I'm so unfortunate.,negative
I'm so heartbreaking.,negative
I'm so dreadful.,negative
It's been a disastrous day.,negative
Everything is depressing.,negative
Absolutely heartbreaking.,negative
Absolutely terrible.,negative
Absolutely terrible.,negative
Everything is dreadful.,negative
What a horrible moment.,negative
Feeling bad.,negative
Everything is poor.,negative
It's been a awful day.,negative
I hate this dreadful.,negative
Everything is dreadful.,negative
This makes me feel heartbreaking.,negative
I'm so horrible.,negative
This is dreadful.,negative
It's been a disastrous day.,negative
I feel horrible.,negative
I'm terrible.,negative
It's been a dreadful day.,negative
It's been a bad day.,negative
Such a miserable experience.,negative
This makes me feel disastrous.,negative
Such a horrible experience.,negative
Absolutely unfortunate.,negative
I'm disastrous.,negative
Absolutely horrible.,negative
Everything is terrible.,negative
This makes me feel awful.,negative
This makes me feel dreadful.,negative
Such a poor experience.,negative
What a heartbreaking moment.,negative
I hate this heartbreaking.,negative
I feel bad.,negative
Such a miserable experience.,negative
I'm so dreadful.,negative
Feeling disastrous.,negative
I hate this disastrous.,negative
This makes me feel heartbreaking.,negative
Such a bad experience.,negative
I hate this bad.,negative
I'm so horrible.,negative
Everything is awful.,negative
This makes me feel depressing.,negative
This makes me feel heartbreaking.,negative
I'm so dreadful.,negative
I'm so terrible.,negative
Feeling disastrous.,negative
I'm horrible.,negative
I hate this sad.,negative
This makes me feel depressing.,negative
This is poor.,negative
What a terrible moment.,negative
Such a disastrous experience.,negative
Feeling heartbreaking.,negative
Such a disastrous experience.,negative
I'm so unfortunate.,negative
It's been a heartbreaking day.,negative
Such a dreadful experience.,negative
Everything is miserable.,negative
("I'm good",positive
("I am good",positive
("Good",positive
("I'm feeling good",positive
("Doing good",positive
("All good",positive
("I'm doing well",positive
This makes me feel bad.,negative
It's been a terrible day.,negative
I hate this miserable.,negative
This makes me feel dreadful.,negative
I'm disastrous.,negative
This is awful.,negative
I hate this depressing.,negative
This makes me feel horrible.,negative
What a bad moment.,negative
I hate this heartbreaking.,negative
What a bad moment.,negative
Feeling depressing.,negative
Absolutely heartbreaking.,negative
I feel depressing.,negative
I'm so bad.,negative
I'm terrible.,negative
Everything is unfortunate.,negative
I feel depressing.,negative
I hate this miserable.,negative
Such a disastrous experience.,negative
It's been a poor day.,negative
This makes me feel poor.,negative
What a poor moment.,negative
Feeling unfortunate.,negative
Everything is poor.,negative
What a disastrous moment.,negative

